"Nome da conta","Nome da campanha",Moeda,"Valor usado (BRL)",Alcance,"Cliques no link","CPC (custo por clique no link)","Conversas por mensagem iniciadas","Custo por conversa por mensagem iniciada","Início dos relatórios","Encerramento dos relatórios"
,,BRL,14149.5,635211,26369,0.536596,832,17.00661058,2026-07-01,2026-07-15
"AUTOPLUS [FORD] CONCÓRDIA",[JUL]_[N]_Card_Oferta,BRL,712.57,200861,713,0.99939691,,,2026-07-01,2026-07-15
"AUTOPLUS [FORD] CONCÓRDIA",[JUL]_[SN]_Card_Condição,BRL,358.33,158407,258,1.38887597,,,2026-07-01,2026-07-15
"AUTOPLUS [FORD] LAGES",[JUL]_[N]_Card_Oferta,BRL,717.79,83045,3609,0.19888889,,,2026-07-01,2026-07-15
"AUTOPLUS [FORD] LAGES",[JUL]_[SN]_Carrossel_Oferta,BRL,578.96,61298,4269,0.13561958,2,289.48,2026-07-01,2026-07-15
"AUTOPLUS [FORD] LAGES",[JUL]_[SN]_Card_Condição,BRL,358.26,60155,1798,0.19925473,,,2026-07-01,2026-07-15
"AUTOPLUS [FORD] CONCÓRDIA",[JUL]_[SN]_Carrossel_Oferta,BRL,591.69,55195,4099,0.14434984,,,2026-07-01,2026-07-15
"AUTOPLUS [FORD] CONCÓRDIA",[JUL]_[N]_Vt_Condição,BRL,49.87,36440,6,8.31166667,,,2026-07-01,2026-07-15
"AUTOPLUS [FORD] LAGES",[JUN]_[N]_Vídeo_Modelo,BRL,429.43,35663,1693,0.25365032,,,2026-07-01,2026-07-15
"AUTOPLUS [FORD] JOAÇABA","[JUL]_[N]_Card_Oferta ok",BRL,774.37,30836,657,1.17864536,24,32.26541667,2026-07-01,2026-07-15
"AUTOPLUS [FORD] CONCÓRDIA",[JUN]_[N]_Vídeo_Modelo,BRL,315.67,24739,1211,0.26066887,1,315.67,2026-07-01,2026-07-15
"AUTOPLUS [FORD] RIO DO SUL",[JUL]_[N]_Card_Oferta,BRL,773.61,24644,623,1.2417496,53,14.59641509,2026-07-01,2026-07-15
"AUTOPLUS [FORD] CAÇADOR",[JUL]_[N]_Card_Oferta,BRL,780.05,23720,625,1.24808,66,11.81893939,2026-07-01,2026-07-15
"AUTOPLUS [FORD] BLUMENAU",[JUL]_[N]_Card_Modelos,BRL,781.99,21706,566,1.38160777,47,16.63808511,2026-07-01,2026-07-15
"AUTOPLUS [FORD] JARAGUÁ DO SUL",[JUL]_[N]_Card_Oferta,BRL,780.46,19735,442,1.76574661,50,15.6092,2026-07-01,2026-07-15
"AUTOPLUS [FORD] CAÇADOR",[JUL]_[SN]_Carrossel_Oferta,BRL,587.4,18583,992,0.5921371,71,8.27323944,2026-07-01,2026-07-15
"AUTOPLUS [FORD] BLUMENAU",[JUL]_[SN]_Carrossel_Oferta,BRL,728.77,17545,1051,0.69340628,131,5.56312977,2026-07-01,2026-07-15
"AUTOPLUS [FORD] RIO DO SUL",[JUN]_[SN]_Carrossel_Oferta,BRL,483.59,15334,650,0.74398462,42,11.51404762,2026-07-01,2026-07-15
"AUTOPLUS [FORD] JARAGUÁ DO SUL",[JUL]_[SN]_Carrossel_Oferta,BRL,581.47,15225,834,0.69720624,52,11.18211538,2026-07-01,2026-07-15
"AUTOPLUS [FORD] JOAÇABA","[JUL]_[SN]_Carrossel_Oferta ok",BRL,572.86,15223,810,0.70723457,49,11.69102041,2026-07-01,2026-07-15
"AUTOPLUS [FORD] CONCÓRDIA","[JUL]_[N]_Vídeo_Transit [permanente]",BRL,11.72,9535,6,1.95333333,,,2026-07-01,2026-07-15
"AUTOPLUS [FORD] JOAÇABA","[JUL]_[SN]_Card_Condição ok",BRL,378.77,9140,133,2.84789474,19,19.93526316,2026-07-01,2026-07-15
"AUTOPLUS [FORD] CAÇADOR",[JUL]_[SN]_Card_Condição,BRL,381.09,8839,139,2.74165468,21,18.14714286,2026-07-01,2026-07-15
"AUTOPLUS [FORD] BLUMENAU",[JUL]_[SN]_Card_Condição,BRL,379.19,7866,180,2.10661111,31,12.23193548,2026-07-01,2026-07-15
"AUTOPLUS [FORD] JARAGUÁ DO SUL",[JUL]_[SN]_Card_Condição,BRL,380.7,7110,123,3.09512195,39,9.76153846,2026-07-01,2026-07-15
"AUTOPLUS [FORD] RIO DO SUL",[JUL]_[SN]_Card_Condição,BRL,379.39,5914,122,3.1097541,43,8.82302326,2026-07-01,2026-07-15
"AUTOPLUS [FORD] LAGES",[JUL]_[N]_Vt_Condição,BRL,47.38,5755,196,0.24173469,,,2026-07-01,2026-07-15
"AUTOPLUS [FORD] JOAÇABA","[JUL]_[N]_Vídeo_Oferta Individual ok",BRL,64.14,5123,11,5.83090909,2,32.07,2026-07-01,2026-07-15
"AUTOPLUS [FORD] JOAÇABA","[JUL]_[N]_Vt_Condição ok",BRL,83.13,4322,24,3.46375,3,27.71,2026-07-01,2026-07-15
"AUTOPLUS [FORD] RIO DO SUL",[JUL]_[N]_Card_Modelo,BRL,54.34,3496,25,2.1736,4,13.585,2026-07-01,2026-07-15
"AUTOPLUS [FORD] JOAÇABA",[JUN]_[SN]_Vídeo_Oferta,BRL,98.44,3265,11,8.94909091,4,24.61,2026-07-01,2026-07-15
"AUTOPLUS [FORD] CAÇADOR",[JUN]_[N]_Vídeo_Modelo,BRL,100.45,2686,76,1.32171053,9,11.16111111,2026-07-01,2026-07-15
"AUTOPLUS [FORD] RIO DO SUL",[JUN]_[N]_Vídeo_Modelo,BRL,141.45,1582,84,1.68392857,14,10.10357143,2026-07-01,2026-07-15
"AUTOPLUS [FORD] BLUMENAU",[JUN]_[N]_Vídeo_Festival-Prorrogado,BRL,40.17,1578,15,2.678,12,3.3475,2026-07-01,2026-07-15
"AUTOPLUS [FORD] CAÇADOR",[JUL]_[N]_Vt_Condição,BRL,69.33,1505,45,1.54066667,5,13.866,2026-07-01,2026-07-15
"AUTOPLUS [FORD] BLUMENAU",[JUN]_[N]_Vídeo_Modelo,BRL,152.41,1466,62,2.45822581,9,16.93444444,2026-07-01,2026-07-15
"AUTOPLUS [FORD] RIO DO SUL",[JUL]_[N]_Vt_Condição,BRL,62.44,1326,31,2.01419355,1,62.44,2026-07-01,2026-07-15
"AUTOPLUS [FORD] CAÇADOR","[JUL]_[N]_Vídeo_Transit [permanente]",BRL,18.14,1299,6,3.02333333,1,18.14,2026-07-01,2026-07-15
"AUTOPLUS [FORD] JOAÇABA","[JUL]_[N]_Vídeo_Transit [permanente]",BRL,15.13,1150,8,1.89125,1,15.13,2026-07-01,2026-07-15
"AUTOPLUS [FORD] JARAGUÁ DO SUL",[JUL]_[N]_Vt_Condição,BRL,73.53,1115,35,2.10085714,8,9.19125,2026-07-01,2026-07-15
"AUTOPLUS [FORD] JARAGUÁ DO SUL",[JUN]_[N]_Vídeo_Modelo,BRL,99.96,1064,57,1.75368421,5,19.992,2026-07-01,2026-07-15
"AUTOPLUS [FORD] BLUMENAU",[JUL]_[N]_Vt_Condição,BRL,71.1,1061,28,2.53928571,1,71.1,2026-07-01,2026-07-15
"AUTOPLUS [FORD] RIO DO SUL",[JUN]_[SN]_Vídeo_Condição,BRL,32.28,1059,8,4.035,3,10.76,2026-07-01,2026-07-15
"AUTOPLUS [FORD] RIO DO SUL","[JUL]_[N]_Vídeo_Transit [permanente]",BRL,13.37,1011,8,1.67125,3,4.45666667,2026-07-01,2026-07-15
"AUTOPLUS [FORD] LAGES","[JUN]_[N] — Mafra",BRL,17.93,657,,,1,17.93,2026-07-01,2026-07-15
"AUTOPLUS [FORD] JARAGUÁ DO SUL","[JUL]_[N]_Vídeo_Transit [permanente]",BRL,10.55,557,5,2.11,4,2.6375,2026-07-01,2026-07-15
"AUTOPLUS [FORD] BLUMENAU","[JUL]_[N]_Vídeo_Transit [permanente]",BRL,9.29,507,2,4.645,,,2026-07-01,2026-07-15
"AUTOPLUS [FORD] LAGES","[JUL]_[N]_Vídeo_Transit [permanente]",BRL,6.54,450,24,0.2725,,,2026-07-01,2026-07-15
"AUTOPLUS [FORD] JARAGUÁ DO SUL","[JUN]_[N]_Card_Oferta - D3",BRL,0,0,,,1,0,2026-07-01,2026-07-15
