Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor gasto (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios,Resultados (iniciais)
[AGO]_[N]_Card_Oferta [Prorrogada],2026-08-27,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,27.39,2742,1837,19,144.157.895,,,,2026-08-27,2026-08-27,
[AGO]_[PV]_Card_Condição - Pneu Michelin,2026-08-27,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,5.99,1092,925,3,199.666.667,,,,2026-08-27,2026-08-27,
[JUN]_[SN]_Carrossel_Oferta,2026-08-27,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,9.55,668,473,11,86.818.182,,,,2026-08-27,2026-08-27,
[JUL]_[N]_Card_Consórcio Day [Permanente],2026-08-27,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,10.27,384,323,2,5.135,Conversas por mensagem iniciadas,1,10.27,2026-08-27,2026-08-27,
[AGO]_[N]_Card_Oferta [Prorrogada],2026-08-26,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,125.78,10666,4767,62,202.870.968,Conversas por mensagem iniciadas,3,4.192.666.667,2026-08-26,2026-08-26,
[AGO]_[PV]_Card_Condição - Pneu Michelin,2026-08-26,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,24.71,3770,2555,14,1.765,Conversas por mensagem iniciadas,1,24.71,2026-08-26,2026-08-26,
[JUN]_[SN]_Carrossel_Oferta,2026-08-26,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,35.53,3985,2417,37,96.027.027,Conversas por mensagem iniciadas,2,17.765,2026-08-26,2026-08-26,
[JUL]_[N]_Card_Consórcio Day [Permanente],2026-08-26,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,26.96,1480,1121,2,13.48,,,,2026-08-26,2026-08-26,
[AGO]_[N]_Card_Oferta [Prorrogada],2026-08-25,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,35.36,2889,1648,19,186.105.263,Conversas por mensagem iniciadas,1,35.36,2026-08-25,2026-08-25,
[AGO]_[N]_Card_Oferta [Retomar],2026-08-25,inactive,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,22.84,2217,1512,11,207.636.364,,,,2026-08-25,2026-08-25,
[AGO]_[PV]_Card_Condição - Pneu Michelin,2026-08-25,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,16.65,2615,2105,7,237.857.143,Conversas por mensagem iniciadas,1,16.65,2026-08-25,2026-08-25,
[JUN]_[SN]_Carrossel_Oferta,2026-08-25,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,46.64,4770,2870,42,111.047.619,Conversas por mensagem iniciadas,3,1.554.666.667,2026-08-25,2026-08-25,
[JUL]_[N]_Card_Consórcio Day [Permanente],2026-08-25,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,20.78,1402,1011,2,10.39,Conversas por mensagem iniciadas,2,10.39,2026-08-25,2026-08-25,
[JUN]_[SN]_Carrossel_Oferta,2026-08-24,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,42.51,4144,2519,31,137.129.032,Conversas por mensagem iniciadas,1,42.51,2026-08-24,2026-08-24,
[JUL]_[N]_Card_Consórcio Day [Permanente],2026-08-24,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,17.14,977,764,,,Conversas por mensagem iniciadas,1,17.14,2026-08-24,2026-08-24,
