Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor gasto (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios,Resultados (iniciais)
[JUL]_[N]_Card_Oferta — Feirão Prorrogado,2026-07-31,recently_completed,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,24.48,1048,786,8,03.06,,,,2026-07-31,2026-07-31,
[JUL]_[N]_Card_Oferta,2026-07-31,recently_completed,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,43.56,3456,2530,23,189.391.304,Conversas por mensagem iniciadas,2,21.78,2026-07-31,2026-07-31,
[JUN]_[SN]_Carrossel_Oferta,2026-07-31,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,44.65,2737,1707,36,124.027.778,Conversas por mensagem iniciadas,6,744.166.667,2026-07-31,2026-07-31,
[JUL]_[N]_Card_Consórcio Day [Permanente],2026-07-31,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,24.69,938,720,5,4.938,Conversas por mensagem iniciadas,3,8.23,2026-07-31,2026-07-31,
[JUL]_[N]_Card_Oferta — Feirão Prorrogado,2026-07-30,recently_completed,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,29.54,1629,1225,10,2.954,Conversas por mensagem iniciadas,2,14.77,2026-07-30,2026-07-30,
[JUL]_[N]_Card_Oferta,2026-07-30,recently_completed,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,47.07,4328,3307,28,168.107.143,Conversas por mensagem iniciadas,2,23.535,2026-07-30,2026-07-30,
[JUN]_[SN]_Carrossel_Oferta,2026-07-30,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,39.41,2686,1700,35,1.126,Conversas por mensagem iniciadas,2,19.705,2026-07-30,2026-07-30,
[JUL]_[N]_Card_Consórcio Day [Permanente],2026-07-30,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,22.18,906,733,3,739.333.333,Conversas por mensagem iniciadas,2,11.09,2026-07-30,2026-07-30,
[JUL]_[N]_Card_Oferta — Feirão Prorrogado,2026-07-29,recently_completed,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,45.57,3750,3107,27,168.777.778,Conversas por mensagem iniciadas,3,15.19,2026-07-29,2026-07-29,
[JUL]_[N]_Card_Oferta,2026-07-29,recently_completed,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,65.99,8987,7450,59,111.847.458,Conversas por mensagem iniciadas,2,32.995,2026-07-29,2026-07-29,
[JUN]_[SN]_Carrossel_Oferta,2026-07-29,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,58,3636,2266,47,123.404.255,Conversas por mensagem iniciadas,2,29,2026-07-29,2026-07-29,
[JUL]_[N]_Card_Consórcio Day [Permanente],2026-07-29,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,29.53,1199,929,6,492.166.667,Conversas por mensagem iniciadas,4,7.3825,2026-07-29,2026-07-29,
[JUL]_[N]_Card_Consórcio Day [Permanente],2026-07-28,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,44.33,1415,1110,8,554.125,Conversas por mensagem iniciadas,4,11.0825,2026-07-28,2026-07-28,
[JUN]_[SN]_Carrossel_Oferta,2026-07-28,active,campaign,AutoShow Campos Novos [Chevrolet],1141449996287746,83.31,4127,2568,42,198.357.143,Conversas por mensagem iniciadas,5,16.662,2026-07-28,2026-07-28,
