Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor usado (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-31,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,7.34,322,305,2,3.67,,,,2026-07-31,2026-07-31
[JUL]_[N]_Vt_Condição,2026-07-31,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,27.34,593,480,14,195.285.714,,,,2026-07-31,2026-07-31
[JUL]_[N]_Card_Modeloss,2026-07-31,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,49.67,3181,2318,32,15.521.875,Conversas por mensagem iniciadas,7,709.571.429,2026-07-31,2026-07-31
[JUL]_[SN]_Carrossel_Oferta,2026-07-31,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,48.88,3398,2375,58,84.275.862,Conversas por mensagem iniciadas,13,3.76,2026-07-31,2026-07-31
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-30,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,8.88,466,435,1,8.88,,,,2026-07-30,2026-07-30
[JUL]_[N]_Vt_Condição,2026-07-30,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,35.2,572,465,18,195.555.556,Conversas por mensagem iniciadas,4,8.8,2026-07-30,2026-07-30
[JUL]_[N]_Card_Modeloss,2026-07-30,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,48.82,5065,3677,35,139.485.714,Conversas por mensagem iniciadas,4,12.205,2026-07-30,2026-07-30
[JUL]_[SN]_Carrossel_Oferta,2026-07-30,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,51.89,3756,2467,76,68.276.316,Conversas por mensagem iniciadas,9,576.555.556,2026-07-30,2026-07-30
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-29,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.03,580,542,8,137.875,Conversas por mensagem iniciadas,1,11.03,2026-07-29,2026-07-29
[JUL]_[N]_Vt_Condição,2026-07-29,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,46.59,820,653,23,202.565.217,Conversas por mensagem iniciadas,3,15.53,2026-07-29,2026-07-29
[JUL]_[N]_Card_Modeloss,2026-07-29,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,61.69,8238,5865,75,82.253.333,Conversas por mensagem iniciadas,9,685.444.444,2026-07-29,2026-07-29
[JUL]_[SN]_Carrossel_Oferta,2026-07-29,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,64.68,4489,3053,94,68.808.511,Conversas por mensagem iniciadas,4,16.17,2026-07-29,2026-07-29
[JUL]_[N]_Card_Modeloss,2026-07-28,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,72.63,9471,6772,66,110.045.455,Conversas por mensagem iniciadas,7,1.037.571.429,2026-07-28,2026-07-28
[JUL]_[SN]_Carrossel_Oferta,2026-07-28,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,72.61,5083,3415,93,78.075.269,Conversas por mensagem iniciadas,12,605.083.333,2026-07-28,2026-07-28
[JUL]_[N]_Vt_Condição,2026-07-28,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,58.08,1189,886,33,1.76,Conversas por mensagem iniciadas,7,829.714.286,2026-07-28,2026-07-28
