Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor usado (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios
[JUL]_[N]_Vt_Condição,2026-07-16,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,21.28,344,285,7,03.04,Conversas por mensagem iniciadas,2,10.64,2026-07-16,2026-07-16
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-16,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,6.37,242,208,1,6.37,Conversas por mensagem iniciadas,1,6.37,2026-07-16,2026-07-16
[JUL]_[SN]_Card_Condição,2026-07-16,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,19.19,1009,954,6,319.833.333,Conversas por mensagem iniciadas,1,19.19,2026-07-16,2026-07-16
[JUL]_[N]_Card_Modelos,2026-07-16,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,55.05,4406,3148,44,125.113.636,Conversas por mensagem iniciadas,7,786.428.571,2026-07-16,2026-07-16
[JUL]_[SN]_Carrossel_Oferta,2026-07-16,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,28.62,1889,1390,45,636,Conversas por mensagem iniciadas,6,4.77,2026-07-16,2026-07-16
[JUL]_[N]_Vt_Condição,2026-07-15,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,35.6,552,451,14,254.285.714,Conversas por mensagem iniciadas,1,35.6,2026-07-15,2026-07-15
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-15,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.51,671,596,1,11.51,Conversas por mensagem iniciadas,1,11.51,2026-07-15,2026-07-15
[JUL]_[SN]_Card_Condição,2026-07-15,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,37.56,1216,965,21,178.857.143,Conversas por mensagem iniciadas,3,12.52,2026-07-15,2026-07-15
[JUL]_[N]_Card_Modelos,2026-07-15,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,102.56,8680,6127,84,122.095.238,Conversas por mensagem iniciadas,8,12.82,2026-07-15,2026-07-15
[JUL]_[SN]_Carrossel_Oferta,2026-07-15,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,65.16,4736,3205,98,66.489.796,Conversas por mensagem iniciadas,7,930.857.143,2026-07-15,2026-07-15
[JUL]_[SN]_Card_Condição,2026-07-14,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,35.36,1403,1102,11,321.454.545,Conversas por mensagem iniciadas,1,35.36,2026-07-14,2026-07-14
[JUL]_[SN]_Carrossel_Oferta,2026-07-14,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,72.38,5033,3373,130,55.676.923,Conversas por mensagem iniciadas,19,380.947.368,2026-07-14,2026-07-14
[JUL]_[N]_Card_Modelos,2026-07-14,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,115.37,8380,5420,95,121.442.105,Conversas por mensagem iniciadas,5,23.074,2026-07-14,2026-07-14
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-14,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,3.32,273,261,2,1.66,,,,2026-07-14,2026-07-14
[JUL]_[N]_Vt_Condição,2026-07-14,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,47.05,962,826,16,2.940.625,Conversas por mensagem iniciadas,1,47.05,2026-07-14,2026-07-14
[JUL]_[N]_Vt_Condição,2026-07-13,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,0,1,1,,,,,,2026-07-13,2026-07-13
[JUL]_[SN]_Card_Condição,2026-07-13,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,30.93,1078,918,8,386.625,Conversas por mensagem iniciadas,2,15.465,2026-07-13,2026-07-13
