Nome do conjunto de anúncios,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Impressões,Alcance,Valor usado (BRL),Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios
[N]_Card_Modelo,2026-07-30,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1,1,0,,,,,,2026-07-30,2026-07-30
[N]_Card_Modelo,2026-07-30,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2,2,0.01,,,,,,2026-07-30,2026-07-30
[SN]_Carrossel_Oferta,2026-07-29,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,692,556,11.71,9,130.111.111,Conversas por mensagem iniciadas,3,390.333.333,2026-07-29,2026-07-29
[SN]_Carrossel_Oferta,2026-07-29,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,484,412,13.99,4,3.4975,Conversas por mensagem iniciadas,2,6.995,2026-07-29,2026-07-29
[SN]_Carrossel_Oferta,2026-07-29,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,602,508,13.53,11,1.23,Conversas por mensagem iniciadas,2,6.765,2026-07-29,2026-07-29
[N]_Card_Modelo,2026-07-29,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,691,607,20.07,9,2.23,,,,2026-07-29,2026-07-29
[N]_Card_Modelo,2026-07-29,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1569,1290,21.74,19,114.421.053,,,,2026-07-29,2026-07-29
[N]_Card_Modelo,2026-07-29,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,864,749,19.25,15,128.333.333,Leads (formulário),2,9.625,2026-07-29,2026-07-29
[N]_Card_Modelo,2026-07-28,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2409,1989,62.04,34,182.470.588,Leads (formulário),2,31.02,2026-07-28,2026-07-28
[N]_Card_Modelo,2026-07-28,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2770,2217,60.29,27,223.296.296,Leads (formulário),6,1.004.833.333,2026-07-28,2026-07-28
[N]_Card_Modelo,2026-07-28,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,4241,3294,61.13,54,113.203.704,Leads (formulário),4,152.825,2026-07-28,2026-07-28
[SN]_Carrossel_Oferta,2026-07-28,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,978,775,25.39,10,2.539,Conversas por mensagem iniciadas,2,12.695,2026-07-28,2026-07-28
[SN]_Carrossel_Oferta,2026-07-28,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,809,656,25.77,7,368.142.857,Conversas por mensagem iniciadas,1,25.77,2026-07-28,2026-07-28
[SN]_Carrossel_Oferta,2026-07-28,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,906,703,27.51,13,211.615.385,Conversas por mensagem iniciadas,2,13.755,2026-07-28,2026-07-28
[SN]_Carrossel_Oferta,2026-07-27,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1025,879,26.75,11,243.181.818,Conversas por mensagem iniciadas,3,891.666.667,2026-07-27,2026-07-27
[SN]_Carrossel_Oferta,2026-07-27,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,739,657,27.21,9,302.333.333,Conversas por mensagem iniciadas,3,09.07,2026-07-27,2026-07-27
[SN]_Carrossel_Oferta,2026-07-27,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1117,948,27.22,14,194.428.571,Conversas por mensagem iniciadas,1,27.22,2026-07-27,2026-07-27
[N]_Card_Modelo,2026-07-27,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3137,2543,62.6,39,160.512.821,Leads (formulário),2,31.3,2026-07-27,2026-07-27
[N]_Card_Modelo,2026-07-27,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,4902,3739,59.68,28,213.142.857,Leads (formulário),2,29.84,2026-07-27,2026-07-27
[N]_Card_Modelo,2026-07-27,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2661,2123,52.59,38,138.394.737,Leads (formulário),3,17.53,2026-07-27,2026-07-27
[N]_Card_Modelo,2026-07-26,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3237,2570,72.38,44,1.645,Leads (formulário),3,2.412.666.667,2026-07-26,2026-07-26
[N]_Card_Modelo,2026-07-26,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3569,2848,77.88,54,144.222.222,Leads (formulário),9,865.333.333,2026-07-26,2026-07-26
[N]_Card_Modelo,2026-07-26,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,5740,4267,71.94,53,135.735.849,Leads (formulário),1,71.94,2026-07-26,2026-07-26
[SN]_Carrossel_Oferta,2026-07-26,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1151,926,25.28,20,1.264,Conversas por mensagem iniciadas,3,842.666.667,2026-07-26,2026-07-26
[SN]_Carrossel_Oferta,2026-07-26,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,885,740,28.75,6,479.166.667,Conversas por mensagem iniciadas,1,28.75,2026-07-26,2026-07-26
[SN]_Carrossel_Oferta,2026-07-26,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1255,990,25.62,18,142.333.333,Conversas por mensagem iniciadas,1,25.62,2026-07-26,2026-07-26
[SN]_Carrossel_Oferta,2026-07-25,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,458,362,9.13,6,152.166.667,,,,2026-07-25,2026-07-25
[SN]_Carrossel_Oferta,2026-07-25,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,651,557,13.16,3,438.666.667,,,,2026-07-25,2026-07-25
[SN]_Carrossel_Oferta,2026-07-25,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,715,612,11.46,8,1.4325,Conversas por mensagem iniciadas,1,11.46,2026-07-25,2026-07-25
[N]_Card_Modelo,2026-07-25,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2208,1777,50.42,20,2.521,,,,2026-07-25,2026-07-25
[N]_Card_Modelo,2026-07-25,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,4174,3176,49.64,34,1.46,Leads (formulário),1,49.64,2026-07-25,2026-07-25
[N]_Card_Modelo,2026-07-25,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2027,1643,52.68,33,159.636.364,Leads (formulário),5,10.536,2026-07-25,2026-07-25
[SN]_Carrossel_Oferta,2026-07-24,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,840,749,20.83,19,109.631.579,Conversas por mensagem iniciadas,3,694.333.333,2026-07-24,2026-07-24
[N]_Card_Modelo,2026-07-24,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2051,1601,57.44,28,205.142.857,Leads (formulário),3,1.914.666.667,2026-07-24,2026-07-24
[N]_Card_Modelo,2026-07-24,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,4834,3628,60.08,30,200.266.667,Leads (formulário),4,15.02,2026-07-24,2026-07-24
[SN]_Carrossel_Oferta,2026-07-24,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,759,639,13.32,9,1.48,Conversas por mensagem iniciadas,1,13.32,2026-07-24,2026-07-24
[N]_Card_Modelo,2026-07-24,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2702,2166,58.5,30,1.95,,,,2026-07-24,2026-07-24
[SN]_Carrossel_Oferta,2026-07-24,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,824,658,18.4,11,167.272.727,Conversas por mensagem iniciadas,3,613.333.333,2026-07-24,2026-07-24
[N]_Card_Modelo,2026-07-23,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2124,1716,55.86,28,1.995,Leads (formulário),4,13.965,2026-07-23,2026-07-23
[SN]_Carrossel_Oferta,2026-07-23,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,769,560,17.16,9,190.666.667,,,,2026-07-23,2026-07-23
[SN]_Carrossel_Oferta,2026-07-23,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,944,757,22.63,21,107.761.905,Conversas por mensagem iniciadas,1,22.63,2026-07-23,2026-07-23
[SN]_Carrossel_Oferta,2026-07-23,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,860,695,19.13,12,159.416.667,,,,2026-07-23,2026-07-23
[N]_Card_Modelo,2026-07-23,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2431,1954,54.41,33,164.878.788,Leads (formulário),1,54.41,2026-07-23,2026-07-23
[N]_Card_Modelo,2026-07-23,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3959,3016,51.66,35,1.476,,,,2026-07-23,2026-07-23
[N]_Card_Modelo,2026-07-22,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2656,2172,58.01,32,18.128.125,Leads (formulário),2,29.005,2026-07-22,2026-07-22
[N]_Card_Modelo,2026-07-22,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2926,2448,57.33,31,184.935.484,Leads (formulário),3,19.11,2026-07-22,2026-07-22
[N]_Card_Modelo,2026-07-22,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,4756,3716,59.23,35,169.228.571,Leads (formulário),1,59.23,2026-07-22,2026-07-22
[SN]_Carrossel_Oferta,2026-07-22,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1015,838,21.63,21,01.03,Conversas por mensagem iniciadas,1,21.63,2026-07-22,2026-07-22
[SN]_Carrossel_Oferta,2026-07-22,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1301,1079,20.48,15,136.533.333,,,,2026-07-22,2026-07-22
[SN]_Carrossel_Oferta,2026-07-22,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1036,816,18.93,13,145.615.385,Conversas por mensagem iniciadas,1,18.93,2026-07-22,2026-07-22
[SN]_Carrossel_Oferta,2026-07-21,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,788,587,23.78,12,198.166.667,,,,2026-07-21,2026-07-21
[SN]_Carrossel_Oferta,2026-07-21,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1083,881,27.21,18,151.166.667,Conversas por mensagem iniciadas,2,13.605,2026-07-21,2026-07-21
[SN]_Carrossel_Oferta,2026-07-21,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1118,866,23.25,21,110.714.286,Conversas por mensagem iniciadas,2,11.625,2026-07-21,2026-07-21
[N]_Card_Modelo,2026-07-21,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2633,2094,65.72,40,1.643,Leads (formulário),2,32.86,2026-07-21,2026-07-21
[N]_Card_Modelo,2026-07-21,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,5570,3853,67.89,29,234.103.448,Leads (formulário),3,22.63,2026-07-21,2026-07-21
[N]_Card_Modelo,2026-07-21,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3150,2405,63.24,44,143.727.273,Leads (formulário),4,15.81,2026-07-21,2026-07-21
[N]_Card_Modelo,2026-07-20,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2540,2147,61.01,41,148.804.878,Leads (formulário),3,2.033.666.667,2026-07-20,2026-07-20
[N]_Card_Modelo,2026-07-20,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3471,2714,62.84,47,133.702.128,Leads (formulário),5,12.568,2026-07-20,2026-07-20
[N]_Card_Modelo,2026-07-20,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,4221,3107,61.36,33,185.939.394,Leads (formulário),1,61.36,2026-07-20,2026-07-20
