Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor usado (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios
[JUL]_[N]_Card_Oferta,2026-07-30,active,campaign,SuperAuto GAC,952398236874786,27.56,1120,843,27,102.074.074,Leads (formulário),10,2.756,2026-07-30,2026-07-30
[JUL]_[N]_CARD_Move Brasil,2026-07-30,active,campaign,SuperAuto GAC,952398236874786,17.7,687,542,10,1.77,Conversas por mensagem iniciadas,5,3.54,2026-07-30,2026-07-30
[JUL]_[SN]_Carrossel_Oferta,2026-07-30,active,campaign,SuperAuto GAC,952398236874786,19.88,445,360,6,331.333.333,,,,2026-07-30,2026-07-30
[JUL]_[N]_Card_Oferta PCD/TAXI,2026-07-30,active,campaign,SuperAuto GAC,952398236874786,6.5,342,333,5,1.3,,,,2026-07-30,2026-07-30
[JUL]_[SN]_Carrossel_Oferta,2026-07-29,active,campaign,SuperAuto GAC,952398236874786,63.13,1526,1189,21,300.619.048,Conversas por mensagem iniciadas,1,63.13,2026-07-29,2026-07-29
[JUL]_[N]_Card_Oferta PCD/TAXI,2026-07-29,active,campaign,SuperAuto GAC,952398236874786,24.04,1455,1368,19,126.526.316,Leads (formulário),1,24.04,2026-07-29,2026-07-29
[JUL]_[N]_Card_Oferta [BC],2026-07-29,inactive,campaign,SuperAuto GAC,952398236874786,34.59,1210,1071,19,182.052.632,Leads (formulário),1,34.59,2026-07-29,2026-07-29
[JUL]_[N]_Card_Oferta [FLN],2026-07-29,inactive,campaign,SuperAuto GAC,952398236874786,29.42,1348,1196,28,105.071.429,Leads (formulário),5,5.884,2026-07-29,2026-07-29
[JUL]_[N]_Vários formatos_Oferta,2026-07-29,inactive,campaign,SuperAuto GAC,952398236874786,15.14,336,284,2,7.57,,,,2026-07-29,2026-07-29
[JUL]_[N]_CARD_Move Brasil,2026-07-29,active,campaign,SuperAuto GAC,952398236874786,76.77,3233,2193,43,178.534.884,Conversas por mensagem iniciadas,15,5.118,2026-07-29,2026-07-29
[JUL]_[N]_Card_Oferta,2026-07-29,active,campaign,SuperAuto GAC,952398236874786,67.72,2660,1830,42,161.238.095,Leads (formulário),5,13.544,2026-07-29,2026-07-29
