Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor gasto (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios,Resultados (iniciais)
[AGO]_[N]_Carrossel_Oferta,2026-08-28,active,campaign,SuperAuto GAC,952398236874786,4.96,103,97,2,2.48,,,,2026-08-28,2026-08-28,
[AGO]_[N]_Vídeo [GS9/eufranamaral],2026-08-28,active,campaign,SuperAuto GAC,952398236874786,32.3,703,508,6,538.333.333,Conversas por mensagem iniciadas,2,16.15,2026-08-28,2026-08-28,
[AGO]_[N]_Vídeo [GS9/Form],2026-08-28,active,campaign,SuperAuto GAC,952398236874786,30.26,621,533,9,336.222.222,Leads (formulário),1,30.26,2026-08-28,2026-08-28,
[AGO]_[N]_Vídeo_GAC [GS3/Form],2026-08-28,active,campaign,SuperAuto GAC,952398236874786,5.46,139,125,2,2.73,,,,2026-08-28,2026-08-28,
[AGO]_[N]_Carrossel [GS9/Wts],2026-08-28,active,campaign,SuperAuto GAC,952398236874786,7.85,224,200,,,,,,2026-08-28,2026-08-28,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC,2026-08-28,active,campaign,SuperAuto GAC,952398236874786,10.98,177,152,2,5.49,,,,2026-08-28,2026-08-28,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-28,active,campaign,SuperAuto GAC,952398236874786,12.3,217,189,1,12.3,Conversas por mensagem iniciadas,1,12.3,2026-08-28,2026-08-28,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-28,active,campaign,SuperAuto GAC,952398236874786,78.57,4395,3497,94,83.585.106,Leads (formulário),12,6.5475,2026-08-28,2026-08-28,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-28,active,campaign,SuperAuto GAC,952398236874786,7.62,300,270,3,2.54,Conversas por mensagem iniciadas,3,2.54,2026-08-28,2026-08-28,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC,2026-08-27,active,campaign,SuperAuto GAC,952398236874786,40.15,461,340,14,286.785.714,Conversas por mensagem iniciadas,2,20.075,2026-08-27,2026-08-27,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-27,active,campaign,SuperAuto GAC,952398236874786,16.01,508,454,9,177.888.889,Conversas por mensagem iniciadas,8,200.125,2026-08-27,2026-08-27,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-27,active,campaign,SuperAuto GAC,952398236874786,238.17,13241,9475,252,94.511.905,Leads (formulário),24,992.375,2026-08-27,2026-08-27,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-27,active,campaign,SuperAuto GAC,952398236874786,47.17,804,657,7,673.857.143,Conversas por mensagem iniciadas,2,23.585,2026-08-27,2026-08-27,
[AGO]_[N]_Vídeo [GS9/eufranamaral],2026-08-27,active,campaign,SuperAuto GAC,952398236874786,31.21,727,579,7,445.857.143,,,,2026-08-27,2026-08-27,
[AGO]_[N]_Carrossel [GS9/Wts],2026-08-27,active,campaign,SuperAuto GAC,952398236874786,19.42,468,337,7,277.428.571,Conversas por mensagem iniciadas,3,647.333.333,2026-08-27,2026-08-27,
[AGO]_[N]_Vídeo_GAC [GS3/Form],2026-08-27,active,campaign,SuperAuto GAC,952398236874786,13.27,290,260,9,147.444.444,Leads (formulário),1,13.27,2026-08-27,2026-08-27,
[AGO]_[N]_Vídeo [GS9/Form],2026-08-27,active,campaign,SuperAuto GAC,952398236874786,79,1744,1428,38,207.894.737,Leads (formulário),5,15.8,2026-08-27,2026-08-27,
[AGO]_[N]_Carrossel_Oferta,2026-08-27,active,campaign,SuperAuto GAC,952398236874786,22.22,586,486,9,246.888.889,,,,2026-08-27,2026-08-27,
