Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor gasto (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios,Resultados (iniciais)
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-31,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,13.17,329,281,15,0.878,,,,2026-08-31,2026-08-31,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-31,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,14.75,1030,934,14,1.05357143,Conversas por mensagem iniciadas,1,14.75,2026-08-31,2026-08-31,
[AGO]_[SN]_Card_Condição - Lote,2026-08-31,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,21,1439,1162,15,1.4,Conversas por mensagem iniciadas,1,21,2026-08-31,2026-08-31,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-31,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,53.76,3332,2464,22,2.44363636,Conversas por mensagem iniciadas,4,13.44,2026-08-31,2026-08-31,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-31,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,29.23,1522,1220,28,1.04392857,Conversas por mensagem iniciadas,3,9.74333333,2026-08-31,2026-08-31,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-30,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,78.99,4782,3564,43,1.83697674,Conversas por mensagem iniciadas,2,39.495,2026-08-30,2026-08-30,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-30,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,18.23,1154,956,20,0.9115,,,,2026-08-30,2026-08-30,
[AGO]_[SN]_Card_Condição - Lote,2026-08-30,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,26.41,1323,1129,19,1.39,Conversas por mensagem iniciadas,2,13.205,2026-08-30,2026-08-30,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-30,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,12.8,877,825,19,0.67368421,Conversas por mensagem iniciadas,2,6.4,2026-08-30,2026-08-30,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-30,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,25.86,466,418,17,1.52117647,Conversas por mensagem iniciadas,3,8.62,2026-08-30,2026-08-30,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-29,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,7.38,138,123,3,2.46,Conversas por mensagem iniciadas,1,7.38,2026-08-29,2026-08-29,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-29,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,3.28,227,197,3,1.09333333,,,,2026-08-29,2026-08-29,
[AGO]_[SN]_Card_Condição - Lote,2026-08-29,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.18,519,436,5,2.236,Conversas por mensagem iniciadas,1,11.18,2026-08-29,2026-08-29,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-29,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,39.46,2387,1784,25,1.5784,Conversas por mensagem iniciadas,1,39.46,2026-08-29,2026-08-29,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-29,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.21,713,589,9,1.24555556,Conversas por mensagem iniciadas,2,5.605,2026-08-29,2026-08-29,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-28,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,49.7,3536,2532,38,1.30789474,Conversas por mensagem iniciadas,4,12.425,2026-08-28,2026-08-28,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-28,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,31.94,1679,1301,28,1.14071429,Conversas por mensagem iniciadas,3,10.64666667,2026-08-28,2026-08-28,
[AGO]_[SN]_Card_Condição - Lote,2026-08-28,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,10.91,468,385,4,2.7275,Conversas por mensagem iniciadas,1,10.91,2026-08-28,2026-08-28,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-28,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,12.06,153,133,5,2.412,Conversas por mensagem iniciadas,1,12.06,2026-08-28,2026-08-28,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-28,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,4.61,299,268,1,4.61,,,,2026-08-28,2026-08-28,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-27,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,19.02,250,197,12,1.585,Conversas por mensagem iniciadas,2,9.51,2026-08-27,2026-08-27,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-27,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,9.43,508,469,10,0.943,Conversas por mensagem iniciadas,2,4.715,2026-08-27,2026-08-27,
[AGO]_[SN]_Card_Condição - Lote,2026-08-27,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,13.69,644,507,2,6.845,,,,2026-08-27,2026-08-27,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-27,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,58.77,3624,2679,51,1.15235294,Conversas por mensagem iniciadas,6,9.795,2026-08-27,2026-08-27,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-27,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,62.05,3452,2561,75,0.82733333,Conversas por mensagem iniciadas,4,15.5125,2026-08-27,2026-08-27,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-26,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.6,532,470,9,1.28888889,Conversas por mensagem iniciadas,3,3.86666667,2026-08-26,2026-08-26,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-26,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,67.93,4154,3014,39,1.74179487,Conversas por mensagem iniciadas,4,16.9825,2026-08-26,2026-08-26,
