Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor gasto (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Visitas ao perfil do Instagram,Curtidas do Facebook,Seguidores no Instagram,Início dos relatórios,Encerramento dos relatórios
[Ago] Campanhas_Benefícios,2026-08-31,active,campaign,4fit academia,635061873878974,17.8,859,697,5,3.56,,,,1,,0,2026-08-31,2026-08-31
[Ago] Campanhas_Benefícios,2026-08-30,active,campaign,4fit academia,635061873878974,39.62,1539,1273,23,17.226.087,Conversas por mensagem iniciadas,4,9.905,9,1,1,2026-08-30,2026-08-30
[Ago] Campanhas_Benefícios,2026-08-29,active,campaign,4fit academia,635061873878974,40.3,1574,1331,36,111.944.444,Conversas por mensagem iniciadas,5,08.06,19,1,0,2026-08-29,2026-08-29
[Ago] Campanhas_Benefícios,2026-08-28,active,campaign,4fit academia,635061873878974,53.93,2341,1878,29,185.965.517,Conversas por mensagem iniciadas,9,599.222.222,27,,1,2026-08-28,2026-08-28
[Ago] Campanhas_Benefícios,2026-08-27,active,campaign,4fit academia,635061873878974,28.83,991,831,10,2.883,Conversas por mensagem iniciadas,2,14.415,12,,0,2026-08-27,2026-08-27
[Ago] Campanhas_Benefícios,2026-08-26,active,campaign,4fit academia,635061873878974,49.03,1491,1262,25,1.9612,Conversas por mensagem iniciadas,7,700.428.571,24,,0,2026-08-26,2026-08-26
[Ago] Campanhas_Benefícios,2026-08-25,active,campaign,4fit academia,635061873878974,72.59,2546,2077,33,219.969.697,Conversas por mensagem iniciadas,9,806.555.556,14,,2,2026-08-25,2026-08-25
[Ago] Campanhas_Benefícios,2026-08-24,active,campaign,4fit academia,635061873878974,68.47,2874,2388,33,207.484.848,Conversas por mensagem iniciadas,11,622.454.545,22,,0,2026-08-24,2026-08-24
[Ago] Campanhas_Benefícios,2026-08-23,active,campaign,4fit academia,635061873878974,36.19,1261,1068,16,2.261.875,Conversas por mensagem iniciadas,2,18.095,9,,2,2026-08-23,2026-08-23
[Ago] Campanhas_Benefícios,2026-08-22,active,campaign,4fit academia,635061873878974,61.24,2107,1753,27,226.814.815,Conversas por mensagem iniciadas,9,680.444.444,16,,1,2026-08-22,2026-08-22
[Ago] Campanhas_Benefícios,2026-08-21,active,campaign,4fit academia,635061873878974,39.42,1583,1328,21,187.714.286,Conversas por mensagem iniciadas,3,13.14,19,,2,2026-08-21,2026-08-21
[Ago] Campanhas_Benefícios,2026-08-20,active,campaign,4fit academia,635061873878974,46.92,1719,1400,19,246.947.368,Conversas por mensagem iniciadas,6,7.82,18,,2,2026-08-20,2026-08-20
[Ago] Campanhas_Benefícios,2026-08-19,active,campaign,4fit academia,635061873878974,50.49,1711,1410,12,4.2075,Conversas por mensagem iniciadas,5,10.098,19,,0,2026-08-19,2026-08-19
[Ago] Campanhas_Benefícios,2026-08-18,active,campaign,4fit academia,635061873878974,34.07,1244,958,16,2.129.375,Conversas por mensagem iniciadas,7,486.714.286,24,1,3,2026-08-18,2026-08-18
[Ago] Campanhas_Benefícios,2026-08-17,active,campaign,4fit academia,635061873878974,26.19,731,628,5,5.238,Conversas por mensagem iniciadas,4,6.5475,10,,2,2026-08-17,2026-08-17
[Ago] Campanhas_Benefícios,2026-08-16,active,campaign,4fit academia,635061873878974,18.01,548,470,6,300.166.667,Conversas por mensagem iniciadas,1,18.01,8,,1,2026-08-16,2026-08-16
[Ago] Campanhas_Benefícios,2026-08-15,active,campaign,4fit academia,635061873878974,24.55,638,553,3,818.333.333,Conversas por mensagem iniciadas,1,24.55,9,,0,2026-08-15,2026-08-15
[Ago] Campanhas_Benefícios,2026-08-14,active,campaign,4fit academia,635061873878974,12.25,540,460,3,408.333.333,,,,5,,0,2026-08-14,2026-08-14
[Ago] Campanhas_Benefícios,2026-08-13,active,campaign,4fit academia,635061873878974,12.18,583,490,2,06.09,Conversas por mensagem iniciadas,1,12.18,13,,0,2026-08-13,2026-08-13
