Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor gasto (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios,Resultados (iniciais)
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-26,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,16.89,230,166,8,211.125,Conversas por mensagem iniciadas,3,5.63,2026-08-26,2026-08-26,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-26,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,8.15,399,371,7,116.428.571,Conversas por mensagem iniciadas,2,4.075,2026-08-26,2026-08-26,
[AGO]_[SN]_Card_Condição - Lote,2026-08-26,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,16.2,572,456,10,1.62,Conversas por mensagem iniciadas,1,16.2,2026-08-26,2026-08-26,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-26,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,40.17,2386,1830,26,1.545,Conversas por mensagem iniciadas,2,20.085,2026-08-26,2026-08-26,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-26,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,39.26,2180,1597,27,145.407.407,Conversas por mensagem iniciadas,2,19.63,2026-08-26,2026-08-26,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-25,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,72.21,4787,3507,40,180.525,Conversas por mensagem iniciadas,6,12.035,2026-08-25,2026-08-25,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-25,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,72.01,4354,3121,70,102.871.429,Conversas por mensagem iniciadas,4,180.025,2026-08-25,2026-08-25,
[AGO]_[SN]_Card_Condição - Lote,2026-08-25,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,26.53,1004,814,16,1.658.125,Conversas por mensagem iniciadas,1,26.53,2026-08-25,2026-08-25,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-25,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,13.03,879,806,14,93.071.429,,,,2026-08-25,2026-08-25,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-25,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,28.54,427,350,14,203.857.143,Conversas por mensagem iniciadas,1,28.54,2026-08-25,2026-08-25,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-24,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,20.34,360,303,10,2.034,Conversas por mensagem iniciadas,2,10.17,2026-08-24,2026-08-24,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-24,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,12.27,801,707,11,111.545.455,,,,2026-08-24,2026-08-24,
[AGO]_[SN]_Card_Condição - Lote,2026-08-24,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,27.49,666,539,8,343.625,Conversas por mensagem iniciadas,2,13.745,2026-08-24,2026-08-24,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-24,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,51.8,2892,2157,25,2.072,Conversas por mensagem iniciadas,6,863.333.333,2026-08-24,2026-08-24,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-24,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,66.69,3386,2558,55,121.254.545,Conversas por mensagem iniciadas,4,166.725,2026-08-24,2026-08-24,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-23,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,80.03,4976,3779,52,153.903.846,Conversas por mensagem iniciadas,4,200.075,2026-08-23,2026-08-23,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-23,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,74.29,3809,2906,58,128.086.207,Conversas por mensagem iniciadas,5,14.858,2026-08-23,2026-08-23,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-23,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,28.43,554,446,12,236.916.667,Conversas por mensagem iniciadas,1,28.43,2026-08-23,2026-08-23,
[AGO]_[SN]_Card_Condição - Lote,2026-08-23,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,28.24,1018,881,12,235.333.333,Conversas por mensagem iniciadas,2,14.12,2026-08-23,2026-08-23,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-23,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,15.57,973,806,15,1.038,Conversas por mensagem iniciadas,1,15.57,2026-08-23,2026-08-23,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-22,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,9.63,217,191,5,1.926,,,,2026-08-22,2026-08-22,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-22,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,4.75,297,276,6,79.166.667,,,,2026-08-22,2026-08-22,
[AGO]_[SN]_Card_Condição - Lote,2026-08-22,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.89,405,356,1,11.89,Conversas por mensagem iniciadas,1,11.89,2026-08-22,2026-08-22,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-22,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,42.95,2302,1787,18,238.611.111,Conversas por mensagem iniciadas,3,1.431.666.667,2026-08-22,2026-08-22,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-22,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,44,2241,1702,32,1.375,Conversas por mensagem iniciadas,5,8.8,2026-08-22,2026-08-22,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-21,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,13.56,259,219,4,3.39,,,,2026-08-21,2026-08-21,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-21,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,10.11,608,516,11,91.909.091,Conversas por mensagem iniciadas,1,10.11,2026-08-21,2026-08-21,
[AGO]_[SN]_Card_Condição - Lote,2026-08-21,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,18.8,681,563,7,268.571.429,Conversas por mensagem iniciadas,1,18.8,2026-08-21,2026-08-21,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-21,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,59.53,3581,2678,32,18.603.125,Conversas por mensagem iniciadas,3,1.984.333.333,2026-08-21,2026-08-21,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-21,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,62.25,3111,2283,47,132.446.809,Conversas por mensagem iniciadas,4,155.625,2026-08-21,2026-08-21,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-20,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,60.12,3912,2912,34,176.823.529,Conversas por mensagem iniciadas,6,10.02,2026-08-20,2026-08-20,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-20,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,64.67,3269,2543,58,1.115,Conversas por mensagem iniciadas,7,923.857.143,2026-08-20,2026-08-20,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-20,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,9.39,506,470,3,3.13,,,,2026-08-20,2026-08-20,
[AGO]_[SN]_Card_Condição - Lote,2026-08-20,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,16.71,687,567,5,3.342,,,,2026-08-20,2026-08-20,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-20,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,20.54,290,226,8,2.5675,Conversas por mensagem iniciadas,2,10.27,2026-08-20,2026-08-20,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-19,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,27.09,469,401,7,3.87,Conversas por mensagem iniciadas,1,27.09,2026-08-19,2026-08-19,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-19,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.29,836,738,4,2.8225,Conversas por mensagem iniciadas,1,11.29,2026-08-19,2026-08-19,
[AGO]_[SN]_Card_Condição - Lote,2026-08-19,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,20.95,654,560,,,,,,2026-08-19,2026-08-19,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-19,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,65.45,4446,3278,45,145.444.444,Conversas por mensagem iniciadas,6,1.090.833.333,2026-08-19,2026-08-19,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-19,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,69.23,4021,3103,58,119.362.069,Conversas por mensagem iniciadas,6,1.153.833.333,2026-08-19,2026-08-19,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-18,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,26.46,446,377,5,5.292,,,,2026-08-18,2026-08-18,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-18,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,12.94,732,674,6,215.666.667,Conversas por mensagem iniciadas,1,12.94,2026-08-18,2026-08-18,
[AGO]_[SN]_Card_Condição - Lote,2026-08-18,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,20.5,706,601,4,5.125,,,,2026-08-18,2026-08-18,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-18,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,59.45,3612,2623,32,18.578.125,Conversas por mensagem iniciadas,6,990.833.333,2026-08-18,2026-08-18,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-18,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,63.08,3476,2659,70,90.114.286,Conversas por mensagem iniciadas,6,1.051.333.333,2026-08-18,2026-08-18,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-17,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,5.8,260,253,2,2.9,Conversas por mensagem iniciadas,1,5.8,2026-08-17,2026-08-17,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-17,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,48.68,3005,2315,46,105.826.087,Conversas por mensagem iniciadas,4,12.17,2026-08-17,2026-08-17,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-17,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,59.28,4114,3066,51,116.235.294,Conversas por mensagem iniciadas,6,9.88,2026-08-17,2026-08-17,
[AGO]_[SN]_Card_Condição - Lote,2026-08-17,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,25.47,867,720,13,195.923.077,Conversas por mensagem iniciadas,2,12.735,2026-08-17,2026-08-17,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-17,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,8.45,686,616,6,140.833.333,Conversas por mensagem iniciadas,1,8.45,2026-08-17,2026-08-17,
