Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor gasto (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios
[AGO]_[N]_Card_Oferta,2026-09-01,active,campaign,Sagara [Suzuki],498872405861498,63.76,4361,3683,92,0.69304348,Leads (formulário),19,3.35578947,2026-09-01,2026-09-01
[AGO]_[N]_Card_Oferta,2026-09-02,active,campaign,Sagara [Suzuki],498872405861498,55.51,3181,2835,87,0.63804598,Leads (formulário),8,6.93875,2026-09-02,2026-09-02
[AGO]_[N]_Card_Oferta,2026-09-03,active,campaign,Sagara [Suzuki],498872405861498,54.02,3006,2584,68,0.79441176,Leads (formulário),13,4.15538462,2026-09-03,2026-09-03
[AGO]_[N]_Card_Oferta,2026-09-04,active,campaign,Sagara [Suzuki],498872405861498,58.67,3259,2760,55,1.06672727,Leads (formulário),3,19.55666667,2026-09-04,2026-09-04
[AGO]_[N]_Card_Oferta,2026-09-05,active,campaign,Sagara [Suzuki],498872405861498,57.14,3222,2810,103,0.55475728,Leads (formulário),15,3.80933333,2026-09-05,2026-09-05
[AGO]_[N]_Card_Oferta,2026-09-06,active,campaign,Sagara [Suzuki],498872405861498,75.68,4608,3857,105,0.7207619,Leads (formulário),12,6.30666667,2026-09-06,2026-09-06
[AGO]_[N]_Card_Oferta,2026-09-07,active,campaign,Sagara [Suzuki],498872405861498,66.47,3882,3353,110,0.60427273,Leads (formulário),12,5.53916667,2026-09-07,2026-09-07
[AGO]_[N]_Card_Oferta,2026-09-08,active,campaign,Sagara [Suzuki],498872405861498,52.39,3096,2679,72,0.72763889,Leads (formulário),5,10.478,2026-09-08,2026-09-08
[AGO]_[N]_Card_Oferta,2026-09-09,active,campaign,Sagara [Suzuki],498872405861498,60.59,3040,2639,68,0.89102941,Leads (formulário),9,6.73222222,2026-09-09,2026-09-09
[AGO]_[N]_Card_Oferta,2026-09-10,active,campaign,Sagara [Suzuki],498872405861498,57.54,3092,2532,67,0.85880597,Leads (formulário),6,9.59,2026-09-10,2026-09-10
[AGO]_[N]_Card_Oferta,2026-09-11,active,campaign,Sagara [Suzuki],498872405861498,57.95,2826,2489,65,0.89153846,Leads (formulário),10,5.795,2026-09-11,2026-09-11
[AGO]_[N]_Card_Oferta,2026-09-12,active,campaign,Sagara [Suzuki],498872405861498,49.29,2717,2394,57,0.86473684,Leads (formulário),4,12.3225,2026-09-12,2026-09-12
[AGO]_[N]_Card_Oferta,2026-09-13,active,campaign,Sagara [Suzuki],498872405861498,72.62,3983,3353,100,0.7262,Leads (formulário),8,9.0775,2026-09-13,2026-09-13
[AGO]_[N]_Card_Oferta,2026-09-14,active,campaign,Sagara [Suzuki],498872405861498,61.01,3666,3168,99,0.61626263,Leads (formulário),7,8.71571429,2026-09-14,2026-09-14
[AGO]_[N]_Card_Oferta,2026-09-15,active,campaign,Sagara [Suzuki],498872405861498,50.36,3022,2625,67,0.75164179,Leads (formulário),5,10.072,2026-09-15,2026-09-15
[AGO]_[N]_Card_Oferta,2026-09-16,active,campaign,Sagara [Suzuki],498872405861498,65.07,3393,2946,89,0.7311236,Leads (formulário),10,6.507,2026-09-16,2026-09-16
[AGO]_[N]_Card_Oferta,2026-09-17,active,campaign,Sagara [Suzuki],498872405861498,59.49,2420,2038,73,0.81493151,Leads (formulário),3,19.83,2026-09-17,2026-09-17
[AGO]_[N]_Card_Oferta,2026-09-18,active,campaign,Sagara [Suzuki],498872405861498,56.2,2463,2175,62,0.90645161,Leads (formulário),6,9.36666667,2026-09-18,2026-09-18
[AGO]_[N]_Card_Oferta,2026-09-19,active,campaign,Sagara [Suzuki],498872405861498,54.89,2845,2473,73,0.75191781,Leads (formulário),7,7.84142857,2026-09-19,2026-09-19
[AGO]_[N]_Card_Oferta,2026-09-20,active,campaign,Sagara [Suzuki],498872405861498,68.38,3770,3223,77,0.88805195,Leads (formulário),11,6.21636364,2026-09-20,2026-09-20
[AGO]_[N]_Card_Oferta,2026-09-21,active,campaign,Sagara [Suzuki],498872405861498,10.21,583,533,11,0.92818182,Leads (formulário),2,5.105,2026-09-21,2026-09-21
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-09-01,inactive,campaign,SuperAuto GAC,952398236874786,22.38,366,301,5,4.476,Conversas por mensagem iniciadas,3,7.46,2026-09-01,2026-09-01
